Part Number,Name,Cost (£),Unit of Measure,Type (sash/casement/door),Supplier
I2235,Security Flip over lock Antique brass,99,each,Casement,N/A
I2236,Security Flip over lock white,99,each,Casement,N/A
I2237,Locking Casement Stay security pins Polished Brass,99,each,Casement,N/A
I2238,Locking Casement Stay security pins Polished Chrome,99,each,Casement,N/A
I2239,Locking Casement Stay security pins Satin chrome,99,each,Casement,N/A
I2240,Locking Casement Stay security pins Satin nickel,99,each,Casement,N/A
I2241,Locking Casement Stay security pins Antique brass,99,each,Casement,N/A
I2242,Locking Casement Stay security pins Black,99,each,Casement,N/A
I2243,Multi locking casement fastener (No Hand) - Brass,99,each,Casement,N/A
I2244,Multi locking casement fastener(No Hand) - Polished chrome,99,each,Casement,N/A
I2245,Multi locking casement fastener (No Hand) - Satin Chrome,99,each,Casement,N/A
I2246,Multi locking casement fastener (No Hand) - Satin nickel ,99,each,Casement,N/A
I2247,Multi locking casement fastener (No Hand) - Black,99,each,Casement,N/A
I2248,"3"" Butt hinges - Brass",99,Pair,Casement,N/A
I2249,"3"" butt hinges - Polished chrome",99,Pair,Casement,N/A
I2250,"3"" butt hinges - Satin chrome",99,Pair,Casement,N/A
I2251,"3"" butt hinges - Satin nickel",99,Pair,Casement,N/A
I2252,"3"" butt hinges - Antique brass",99,Pair,Casement,N/A
I2253,"4"" Butt hinges - Brass",99,Pair,Door,N/A
I2254,"4"" butt hinges - Polished chrome",99,Pair,Door,N/A
I2255,"4"" butt hinges - Satin chrome",99,Pair,Door,N/A
I2256,"4"" butt hinges - Satin nickel",99,Pair,Door,N/A
I2257,"4"" butt hinges - Antique brass",99,Pair,Door,N/A
I2258,Door nightlatch  - Brass,99,each,Door,N/A
I2259,Door nightlatch - Polished chrome,99,each,Door,N/A
I2260,Door nightlatch - Satin Chrome,99,each,Door,N/A
I2261,Door nightlatch  - Satin nickel,99,each,Door,N/A
I2262,5 Lever deadlock - Brass,99,each,Door,N/A
I2263,5 Lever deadlock Polished chrome,99,each,Door,N/A
I2264,5 Lever deadlock- Satin chrome,99,each,Door,N/A
I2265,5 Lever deadlock  - Satin nickel,99,each,Door,N/A
I2267,letter plate 249 x 73mm - Brass,99,each,Door,N/A
I2268,letter plate 249 x 73mm - Polished chrome,99,each,Door,N/A
I2269,letter plate 249 x 73mm - Satin Chrome,99,each,Door,N/A
I2270,letter plate 250 x 74mm - Satin nickel ,99,each,Door,N/A
I2271,Interior letter tidy 280 x 87mm - Brass,99,each,Door,N/A
I2272,Interior Letter tidy 280 x 80mm - Polished chrome,99,each,Door,N/A
