#Table Name,SortOrder
On Site Materials (PL),10
New Sashes (PL),20
New Frames or Complete New (PL),30
New Joinery extras (PL),40
Glass extras (PL),50
Ironmongery and Hardware (PL),60
Installation (PL),70
POA,
