paintAndIronmongeryPart,puttyRepairMetre,3
paintAndIronmongeryPart,existingSurroundTypeId,3
paintAndIronmongeryPart,existingSurroundActionId,3
paintAndIronmongeryPart,cutBackPlaster,3
paintAndIronmongeryPart,cutOutBrickReveal,3
paintAndIronmongeryPart,hasSeparateAMS,3
paintAndIronmongeryPart,surroundComponentWidthValue,1
paintAndIronmongeryPart,splayedLining,0
paintAndIronmongeryPart,pointingMethod,1
drawingItemPart,surveyorId,3
drawingItemPart,drawingStatusId,1
drawingItemPart,frameMaterialId,0
drawingItemPart,cillMaterialId,0
drawingItemPart,sashMaterialId,0
drawingItemPart,isDocL,3
drawingItemPart,mouldingTypeId,1
drawingItemPart,staffBeadTypeId,3
drawingItemPart,partingBeadTypeId,3
drawingItemPart,sheetQty,3
drawingItemPart,noWork,3
drawingItemPart,decoration,0
drawingItemPart,draughtseal,0
drawingItemPart,biGlass,3
drawingItemPart,newSashes,0
drawingItemPart,reActivate,3
drawingItemPart,newFrame,0
drawingItemPart,installByUs,0
drawingItemPart,deliveryByUs,0
drawingItemPart,fitToPreparedOpening,3
drawingItemPart,kitForm,3
drawingItemPart,glazeOnSite,3
drawingItemPart,surveyByUs,3
drawingItemPart,methodOfDsId,0
drawingItemPart,noWorkToFixedAspect,3
drawingItemPart,range,0
drawingItemPart,updateRangeValues,0
drawingItemPart,decorationLevel,3
drawingItemPart,installationLevel,3
drawingItemPart,materialId,0
drawingItemPart,cadDrawingRequired,3
drawingItemPart,isSecondaryGlazing,3
drawingItemPart,includeClearance,1
drawingItemPart,timberCertificate,3
assemblyFramePart,width,0
assemblyFramePart,height,0
assemblyFramePart,topHeight,1
assemblyFramePart,leftWidth,1
assemblyFramePart,rightWidth,1
assemblyFramePart,bottomHeight,1
assemblyFramePart,frameDepth,1
assemblyFramePart,cillDepth,1
assemblyFramePart,cillBackDepth,1
assemblyFramePart,cillHornLengthLeft,1
assemblyFramePart,cillHornLengthRight,1
assemblyFramePart,outerJambShapeId,1
assemblyFramePart,frameStopId,1
assemblyFramePart,frameGasketColourId,0
assemblyFramePart,cillStopId,1
assemblyFramePart,intFramePlantOn,1
assemblyFramePart,extFramePlantOn,1
assemblyFramePart,leftJambPlantOn,1
assemblyFramePart,rightJambPlantOn,1
assemblyFramePart,repair,0
assemblyFramePart,needWindowboardGroove,1
assemblyFramePart,needInternalLiningGroove,1
assemblyFramePart,needExternalLiningGroove,1
assemblyFramePart,frameHeadStopSize,1
assemblyFramePart,frameStileStopSize,1
assemblyFramePart,cillStopSize,1
assemblyFramePart,topHeightFinished,1
assemblyFramePart,bottomHeightFinished,1
assemblyFramePart,leftWidthFinished,1
assemblyFramePart,rightWidthFinished,1
assemblyFramePart,jambType,1
assemblyFramePart,leftOuterJambExtension,1
assemblyFramePart,rightOuterJambExtension,1
assemblyFramePart,rakedFrame,0
assemblyFramePart,rakeThicknessToMatchHead,1
assemblyFramePart,frameLevelArchHead,0
assemblyFramePart,trickleVentInFrameCentrePartNo,1
assemblyFramePart,trickleVentInFrameLeftPartNo,1
assemblyFramePart,trickleVentInFrameRightPartNo,1
assemblyFramePart,hasHeadDrip,0
assemblyFramePart,flagWidth,0
mullionPart,offset,0
mullionPart,offset2,0
mullionPart,muntinStopSize,1
mullionPart,thicknessInFrame,1
mullionPart,thicknessInSash,1
mullionPart,thicknessInFrameFinished,1
mullionPart,repair,0
transomPart,offset,0
transomPart,offset2,0
transomPart,muntinStopSize,1
transomPart,topTransomShape,1
transomPart,bottomTransomShape,1
transomPart,thicknessInFrame,1
transomPart,thicknessInSash,1
transomPart,thicknessInFrameFinished,1
transomPart,isMidrail,0
transomPart,repair,0
transomPart,trickleVentInTransomCentrePartNo,1
verticalGlazingBarPart,offset,0
verticalGlazingBarPart,offset2,0
verticalGlazingBarPart,thickness,0
verticalGlazingBarPart,nib,3
verticalGlazingBarPart,tail,3
verticalGlazingBarPart,linkTailToNib,3
horizontalGlazingBarPart,offset,0
horizontalGlazingBarPart,offset2,0
horizontalGlazingBarPart,thickness,0
horizontalGlazingBarPart,nib,3
horizontalGlazingBarPart,tail,3
horizontalGlazingBarPart,linkTailToNib,3
glassPanePart,width,1
glassPanePart,height,1
glassPanePart,hackOut,0
glassPanePart,measurementTypeId,1
glassPanePart,manualWidth,1
glassPanePart,manualHeight,1
casementSashPart,mechanicalClearanceLeft,1
casementSashPart,mechanicalClearanceRight,1
casementSashPart,mechanicalClearanceTop,1
casementSashPart,mechanicalClearanceBottom,1
casementSashPart,width,0
casementSashPart,height,0
casementSashPart,topHeight,1
casementSashPart,leftWidth,1
casementSashPart,rightWidth,1
casementSashPart,bottomHeight,1
casementSashPart,archHeight,0
casementSashPart,archHead,0
casementSashPart,halfCircle,0
casementSashPart,shoulderHeight,0
casementSashPart,archRadius,0
casementSashPart,isFrameLevelArch,0
casementSashPart,archedOuterJamb,1
casementSashPart,curvedSashHead,0
casementSashPart,curvedFrameHead,0
casementSashPart,operationId,0
casementSashPart,toBeReplaced,0
casementSashPart,repair,0
casementSashPart,specialJoineryDetails,3
casementSashPart,specialGlassDetails,3
casementSashPart,trickleVentInSashCentrePartNo,1
casementSashPart,trickleVentInFrameAtSashCentrePartNo,1
casementSashPart,sashHeightExt,0
casementSashPart,bottomHeightExternal,1
casementSashPart,thickness,1
casementSashPart,typeId,0
casementSashPart,btmRailShapeId,1
casementSashPart,constantSideOnHeightCalculation,1
casementSashPart,stormProofOverlap,1
casementSashPart,stormProofLipThickness,1
casementSashPart,tiltAndTurnLipThickness,1
casementSashPart,tiltAndTurnOverlap,1
casementSashPart,steppedBottomRailOverlap,1
casementSashPart,chamferedBottomRailAngle,1
casementSashPart,hornLength,3
casementSashPart,hornTypeShortName,3
biFoldDoorPart,mechanicalClearanceLeft,1
biFoldDoorPart,mechanicalClearanceRight,1
biFoldDoorPart,mechanicalClearanceTop,1
biFoldDoorPart,mechanicalClearanceBottom,1
biFoldDoorPart,sashWidth,0
biFoldDoorPart,sashHeight,0
biFoldDoorPart,sashHeightExt,0
biFoldDoorPart,thickness,1
biFoldDoorPart,midRail,1
biFoldDoorPart,typeId,0
biFoldDoorPart,mechanicalClearanceBetween,1
biFoldDoorPart,gapBetweenMeetingStiles,1
biFoldDoorPart,meetingStileOverlap,0
slidingDoorPart,sashHeightExt,1
slidingDoorPart,width,0
slidingDoorPart,height,0
slidingDoorPart,thickness,1
slidingDoorPart,midRail,1
slidingDoorPart,typeId,0
slidingDoorPart,operationId,0
slidingDoorPart,isSlidingDoorPart,1
yorkshireSashPart,sashHeightExt,1
yorkshireSashPart,width,0
yorkshireSashPart,height,0
yorkshireSashPart,thickness,1
yorkshireSashPart,midRail,1
yorkshireSashPart,midRailTypeId,1
yorkshireSashPart,operationId,0
containerPart,bayTypeId,0
containerPart,isBayPoleRequired,0
containerPart,partSpacing,0
containerPart,angle,0
containerPart,isCoupledInTheFactory,3
containerPart,hasContinousSubCill,3
containerPart,isCornerpostRequired,3
frenchCasementPart,mechanicalClearanceLeft,1
frenchCasementPart,mechanicalClearanceRight,1
frenchCasementPart,mechanicalClearanceTop,1
frenchCasementPart,mechanicalClearanceBottom,1
frenchCasementPart,sashHeightExt,1
frenchCasementPart,width,0
frenchCasementPart,height,0
frenchCasementPart,thickness,1
frenchCasementPart,midRail,1
frenchCasementPart,typeId,0
frenchCasementPart,gapBetweenMeetingStiles,1
frenchCasementPart,meetingStileOverlap,1
frenchCasementPart,sashSplitId,0
frenchCasementPart,hasFloatingMullion,0
frenchCasementPart,mullionThickness,1
frenchCasementPart,mullionStopSizeMaster,1
frenchCasementPart,mullionStopSizeSlave,1
frenchCasementPart,mullionThicknessFinished,1
frenchCasementPart,overallMeetingStileWithFloatingMullion,1
floatingTransomCasementPart,mechanicalClearanceLeft,1
floatingTransomCasementPart,mechanicalClearanceRight,1
floatingTransomCasementPart,mechanicalClearanceTop,1
floatingTransomCasementPart,mechanicalClearanceBottom,1
floatingTransomCasementPart,sashWidth,0
floatingTransomCasementPart,sashHeight,0
floatingTransomCasementPart,thickness,1
floatingTransomCasementPart,midRail,1
floatingTransomCasementPart,gapBetweenMeetingStiles,1
floatingTransomCasementPart,meetingStileOverlap,1
floatingTransomCasementPart,typeId,0
floatingTransomCasementPart,sashSplitId,0
floatingTransomCasementPart,slopeDepth,1
floatingTransomCasementPart,slopeAngle,1
floatingTransomCasementPart,mockSash,0
frenchDoorPart,mechanicalClearanceLeft,1
frenchDoorPart,mechanicalClearanceRight,1
frenchDoorPart,mechanicalClearanceTop,1
frenchDoorPart,mechanicalClearanceBottom,1
frenchDoorPart,sashHeightExt,1
frenchDoorPart,width,0
frenchDoorPart,height,0
frenchDoorPart,thickness,1
frenchDoorPart,midRail,1
frenchDoorPart,typeId,0
frenchDoorPart,gapBetweenMeetingStiles,1
frenchDoorPart,meetingStileOverlap,1
frenchDoorPart,sashSplitId,0
frenchDoorPart,hasFloatingMullion,1
frenchDoorPart,mullionThickness,1
frenchDoorPart,mullionStopSizeMaster,1
frenchDoorPart,mullionStopSizeSlave,1
frenchDoorPart,mullionThicknessFinished,1
frenchDoorPart,overallMeetingStileWithFloatingMullion,1
stableDoorPart,mechanicalClearanceLeft,1
stableDoorPart,mechanicalClearanceRight,1
stableDoorPart,mechanicalClearanceTop,1
stableDoorPart,mechanicalClearanceBottom,1
stableDoorPart,sashHeightExt,1
stableDoorPart,width,0
stableDoorPart,height,0
stableDoorPart,thickness,1
stableDoorPart,midRail,1
stableDoorPart,typeId,0
stableDoorPart,gapBetweenMeetingStiles,1
stableDoorPart,meetingStileOverlap,1
stableDoorPart,sashSplitId,0
stableDoorPart,slopeDepth,1
stableDoorPart,slopeAngle,1
sashPairPart,sashHeightExt,1
sashPairPart,width,0
sashPairPart,height,0
sashPairPart,sashSplitId,0
sashPairPart,midRail,1
sashPairPart,midRailTypeId,1
sashPairPart,thickness,1
sashPairPart,midrailThickness,1
sashPairPart,topHornLength,0
sashPairPart,topHornTypeShortName,0
sashPairPart,bottomHornLength,0
sashPairPart,bottomHornTypeShortName,0
sashPairPart,operationId,0
sashPairPart,defaultSpiralFrameDepth,1
sashPairPart,defaultCordFrameDepth,1
sashPairPart,defaultSpiralFrameHead,1
sashPairPart,defaultCordFrameHead,1
sashPairPart,defaultSpiralFrameJamb,1
