Sort ,Name,Group,Loop,Condition,Qty,Value,Markup,Comment
249,Double Casement Frame New over 3.0 Sqm frame Area. Design 2 1,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 2) and full_length_frame_mullion_qty == 1 and frame_transom_qty == 0 and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 3.0,1,4000,no_markup,
250,Double Casement Frame with Fanlight New up to 2 Sqm frame Area. Design 2 2,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 4) and full_length_frame_mullion_qty == 1 and (frame_transom_qty == 1 or new_floating_transom_casement_pair_qty == 1 ) and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area <= 2.0,1,4500,no_markup,
251,Double Casement Frame with Fanlight New up to 3.0 Sqm frame Area.Design 2 2,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 4) and full_length_frame_mullion_qty == 1 and (frame_transom_qty == 1 or new_floating_transom_casement_pair_qty == 1 ) and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 2.0 and area <= 3.0,1,4750,no_markup,
252,Double Casement Frame with Fanlight New up to 4.0 Sqm frame Area.Design 2 2,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 4) and full_length_frame_mullion_qty == 1 and (frame_transom_qty == 1 or new_floating_transom_casement_pair_qty == 1 ) and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 3.0 and area <= 4.0,1,5000,no_markup,
253,Double Casement Frame with Fanlight New over to 4.0 Sqm frame Area.Design 2 2,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 4) and full_length_frame_mullion_qty == 1 and (frame_transom_qty == 1 or new_floating_transom_casement_pair_qty == 1 ) and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 4.0,1,5250,no_markup,
261,Triple Casement frame New from 2.0 Sqm frame Area. Design 3 1 ,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 3) and full_length_frame_mullion_qty == 2 and frame_transom_qty == 0 and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area <= 2.0,1,5500,no_markup,
262,Triple Casement frame New from 3.0 Sqm frame Area. Design 3 1 ,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 3) and full_length_frame_mullion_qty == 2 and frame_transom_qty == 0 and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 2.0 and area <= 3.0,1,5750,no_markup,
263,Triple Casement frame New from 4.0 Sqm frame Area. Design 3 1,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 3) and full_length_frame_mullion_qty == 2 and frame_transom_qty == 0 and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 3.0 and area <= 4.0,1,6000,no_markup,
257,Triple Casement frame New over 4.0 Sqm frame Area. Design 3 1,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 3) and full_length_frame_mullion_qty == 2 and frame_transom_qty == 0 and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area > 4.0 ,1,6250,no_markup,
258,Triple Casement frame with fanlights upto 3.0 sq m New Design 3 2 ,New Frames or Complete New (PL),frame,to_be_replaced and (casement_sash_qty + direct_glazed_unit_qty == 6) and full_length_frame_mullion_qty == 2 and (frame_transom_qty == 1 or new_floating_transom_casement_pair_qty == 1 ) and door_leaf_qty == 0 and sliding_sash_qty == 0 and door_leaf_qty == 0 and area <= 3.0,1,6500,no_markup,
